CityID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Tuatapere,NZ,-46.1333,167.6833,11.01,78,100,2.76,overcast clouds
155,Salym,RU,60.0625,71.4789,-18.66,96,100,3.33,overcast clouds
156,Roald,NO,62.5833,6.1333,6.08,75,75,4.63,broken clouds
157,Yendi,GH,9.4427,-0.0099,31.65,20,11,1.44,few clouds
158,Cairns,AU,-16.9167,145.7667,24.97,88,44,2.57,scattered clouds
159,Airai,TL,-8.9266,125.4092,14.83,92,76,1.03,broken clouds
160,Natal,BR,-5.795,-35.2094,30.36,74,75,6.69,broken clouds
161,Rincon,US,32.296,-81.2354,20.95,34,75,0.0,broken clouds
162,Mahon,ES,39.8885,4.2658,9.31,81,0,2.06,clear sky
163,Matai,TZ,-8.3,31.5167,14.49,94,100,1.08,overcast clouds
164,Saint-Francois,FR,46.4154,3.9054,2.04,86,0,2.57,clear sky
165,Wanlaweyn,SO,2.6185,44.8938,24.7,68,100,7.47,overcast clouds
166,Honningsvag,NO,70.9821,25.9704,-4.26,62,100,9.93,light snow
167,Robertsport,LR,6.7533,-11.3686,26.68,84,11,6.04,few clouds
168,Wajima,JP,37.4,136.9,3.89,68,100,5.97,overcast clouds
169,Srivardhan,IN,18.0333,73.0167,23.09,58,32,2.57,scattered clouds
170,Tual,ID,-5.6667,132.75,28.03,72,29,1.93,scattered clouds
171,Vung Tau,VN,10.346,107.0843,25.87,80,37,8.44,scattered clouds
172,Thompson,CA,55.7435,-97.8558,-21.91,54,0,3.6,clear sky
173,Cabo San Lucas,MX,22.8909,-109.9124,28.99,48,0,2.24,clear sky
174,Severo-Kurilsk,RU,50.6789,156.125,-7.84,76,33,1.02,scattered clouds
175,Zhaotong,CN,27.3167,103.7167,-1.19,87,100,1.76,light snow
176,Novyy Urengoy,RU,66.0833,76.6333,-22.64,96,29,6.62,scattered clouds
177,Lovozero,RU,68.005,35.0117,-9.0,82,100,6.99,overcast clouds
178,San Patricio,US,28.017,-97.5169,20.23,65,100,11.6,overcast clouds
179,Kloulklubed,PW,7.0419,134.2556,27.81,75,53,9.82,broken clouds
180,Odda,NO,60.0691,6.5457,6.11,97,100,3.85,overcast clouds
181,Monforte De Lemos,ES,42.5216,-7.5142,10.32,91,15,0.81,few clouds
182,Omboue,GA,-1.5746,9.2618,26.19,88,100,2.96,light rain
183,Saint George,US,37.1041,-113.5841,19.26,17,0,1.79,clear sky
184,Te Anau,NZ,-45.4167,167.7167,8.38,85,93,2.03,overcast clouds
185,Luba,GQ,3.4568,8.5547,27.94,79,81,3.68,broken clouds
186,Phulpur,IN,25.55,82.1,10.78,54,0,1.79,clear sky
187,Port Lincoln,AU,-34.7333,135.8667,20.38,54,100,2.87,overcast clouds
188,Bethel,US,41.3712,-73.414,13.9,45,0,5.66,clear sky
189,Korla,CN,41.7597,86.1469,-1.8,48,100,3.91,overcast clouds
190,Tagab,AF,34.855,69.6492,5.66,38,40,1.82,scattered clouds
