CityID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
300,La Maddalena,IT,6.03,few clouds,41.2142,9.4083,Hotel Il Gabbiano
302,Plettenberg Bay,ZA,20.31,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
305,Tura,IN,12.66,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
306,Matara,LK,23.97,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
309,Wilmington,US,21.1,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
311,Loubomo,CG,23.33,light rain,-4.1997,12.6739,La Dolisienne
314,Ulladulla,AU,16.72,broken clouds,-35.35,150.4667,Sandpiper Motel
315,Padang,ID,24.71,overcast clouds,-0.9492,100.3543,Mercure Padang
317,Dangtu,CN,6.03,overcast clouds,31.5723,118.4928,City Bianjie Hotel Maanshan Dangtu
320,Coos Bay,US,16.64,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
322,Huilong,CN,8.35,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
326,Praya,CV,24.3,overcast clouds,14.9215,-23.5087,LT Aparthotel
327,Nouadhibou,MR,22.99,scattered clouds,20.931,-17.0347,El Medina
329,Los Llanos De Aridane,ES,17.29,scattered clouds,28.6585,-17.9182,Valle Aridane
333,Ribeira Grande,PT,17.22,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
334,Eureka,US,19.55,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
335,Marawi,PH,17.58,overcast clouds,7.9986,124.2928,Derogongan Residence
337,Veere,NL,5.08,broken clouds,51.5483,3.6667,Hof Christina Hoevehotel
338,Jerantut,MY,21.2,scattered clouds,3.936,102.3626,Jerantut Hill Resort
343,Nabisar,PK,18.64,clear sky,25.0685,69.6419,Dhani Parto Dars
346,Vredendal,ZA,23.69,overcast clouds,-31.6683,18.5012,Tharrakamma Guest House
347,Raudeberg,NO,5.37,moderate rain,61.9875,5.1352,Nordre Silda.
351,Shakawe,BW,19.43,broken clouds,-18.3667,21.85,Ditlhapi Guest House
353,Nizwa,OM,19.32,clear sky,22.9333,57.5333,Orient Apartments
354,Virginia Beach,US,21.26,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
